,feature01,feature04,feature07,feature08,feature09,feature10,feature14,feature17,feature22,feature23,feature11,feature12,feature13,feature15,feature16,feature10.1,feature21,target
331,0.0,546.0,1092.0,4.0,4.0,1970.0,0.0,3.0,546.0,1970.0,NA,NA,red,NA,bad,1,1.0,88250.0
498,3.0,1225.0,2612.0,8.0,5.0,1998.0,1.0,4.0,1336.0,1999.0,NA,NA,red,bad,good,0,1.0,336000.0
2881,0.0,660.0,1396.0,5.0,6.0,1951.0,0.0,4.0,336.0,1951.0,NA,NA,red,NA,bad,0,0.0,115000.0
593,1.0,864.0,864.0,5.0,6.0,1967.0,0.0,2.0,0.0,1967.0,NA,cat,red,NA,bad,1,0.0,130000.0
1178,2.0,1260.0,1288.0,8.0,5.0,1996.0,2.0,1.0,0.0,1996.0,NA,NA,red,good,amazing,1,1.0,245500.0
819,3.0,1705.0,1718.0,8.0,5.0,2007.0,1.0,3.0,0.0,2008.0,NA,NA,red,good,good,0,0.0,297000.0
1748,2.0,847.0,1959.0,7.0,5.0,2004.0,1.0,4.0,1112.0,2005.0,NA,NA,red,good,good,0,1.0,215000.0
2211,2.0,851.0,1718.0,7.0,7.0,1927.0,1.0,4.0,851.0,1992.0,NA,cat,red,bad,good,0,1.0,238000.0
1581,2.0,1256.0,1256.0,6.0,5.0,1986.0,1.0,3.0,0.0,1986.0,NA,NA,red,okay,good,0,0.0,180000.0
1677,1.0,672.0,1218.0,6.0,5.0,1973.0,0.0,4.0,546.0,1973.0,NA,NA,red,NA,amazing,1,1.0,113700.0
1952,1.0,725.0,1651.0,7.0,5.0,1963.0,2.0,4.0,616.0,1999.0,NA,dog,red,bad,bad,0,0.0,172000.0
1676,1.0,672.0,1218.0,6.0,5.0,1973.0,0.0,3.0,546.0,1973.0,NA,NA,red,NA,bad,1,1.0,113000.0
2540,2.0,825.0,1993.0,6.0,5.0,1971.0,1.0,4.0,896.0,1971.0,NA,cow,red,good,bad,0,1.0,190000.0
2088,1.0,0.0,1340.0,5.0,6.0,1957.0,1.0,3.0,0.0,2006.0,NA,dog,red,good,bad,1,0.0,120000.0
2719,2.0,1052.0,1920.0,5.0,5.0,1958.0,1.0,4.0,668.0,1958.0,NA,NA,red,good,good,0,0.0,172500.0
1932,2.0,948.0,948.0,6.0,6.0,1952.0,0.0,2.0,0.0,1952.0,NA,NA,red,NA,bad,1,0.0,125000.0
683,1.0,528.0,1183.0,5.0,5.0,1959.0,0.0,3.0,0.0,1959.0,NA,cow,red,NA,bad,1,0.0,138000.0
1095,2.0,707.0,1414.0,7.0,5.0,2002.0,1.0,3.0,707.0,2002.0,NA,NA,red,good,good,0,1.0,176000.0
267,2.0,1649.0,1661.0,7.0,5.0,1998.0,0.0,3.0,0.0,1998.0,NA,NA,red,NA,good,0,0.0,224900.0
492,2.0,992.0,2060.0,7.0,5.0,1999.0,1.0,3.0,1038.0,1999.0,NA,cat,red,bad,good,0,1.0,214000.0
424,2.0,1652.0,1652.0,9.0,5.0,2006.0,2.0,2.0,0.0,2007.0,NA,NA,red,good,amazing,0,0.0,325000.0
1112,3.0,1574.0,1574.0,8.0,5.0,2006.0,1.0,3.0,0.0,2006.0,NA,NA,red,good,good,0,0.0,232000.0
576,2.0,1740.0,1740.0,7.0,5.0,1981.0,0.0,2.0,0.0,1981.0,NA,NA,red,NA,good,1,1.0,241600.0
1523,1.0,644.0,1316.0,6.0,6.0,1926.0,1.0,2.0,644.0,1950.0,NA,dog,red,good,bad,1,0.0,145000.0
1637,3.0,2660.0,2338.0,9.0,5.0,2006.0,2.0,4.0,0.0,2007.0,NA,NA,red,good,good,0,1.0,591587.0
13,2.0,1300.0,1341.0,7.0,5.0,1990.0,1.0,2.0,0.0,1990.0,NA,NA,red,bad,good,1,1.0,171500.0
152,1.0,1057.0,1057.0,5.0,7.0,1953.0,0.0,3.0,0.0,2007.0,NA,NA,red,NA,good,1,0.0,109000.0
1467,2.0,915.0,1908.0,7.0,5.0,1994.0,1.0,4.0,975.0,1995.0,NA,NA,red,bad,good,0,1.0,210000.0
2837,1.0,784.0,1221.0,5.0,7.0,1924.0,0.0,4.0,272.0,1950.0,NA,NA,red,NA,bad,1,0.0,104900.0
1043,1.0,483.0,987.0,6.0,5.0,1971.0,0.0,2.0,504.0,1971.0,NA,NA,red,NA,bad,1,1.0,85400.0
2643,1.0,813.0,813.0,6.0,8.0,1930.0,0.0,2.0,0.0,2005.0,NA,NA,blue,NA,good,1,0.0,110000.0
1250,1.0,773.0,773.0,5.0,5.0,1953.0,0.0,2.0,0.0,1953.0,NA,NA,red,NA,bad,1,0.0,110000.0
2144,3.0,2000.0,2000.0,8.0,5.0,2004.0,0.0,3.0,0.0,2005.0,NA,NA,red,NA,good,0,0.0,305900.0
339,2.0,1679.0,1803.0,8.0,5.0,1994.0,2.0,3.0,0.0,1995.0,NA,cow,red,bad,good,0,1.0,285000.0
1456,2.0,1257.0,2161.0,7.0,5.0,2001.0,1.0,3.0,871.0,2001.0,NA,NA,red,bad,good,0,1.0,230500.0
2613,1.0,864.0,864.0,6.0,6.0,1959.0,0.0,2.0,0.0,1959.0,NA,NA,red,NA,good,1,0.0,120000.0
1781,3.0,1623.0,1636.0,8.0,5.0,2006.0,1.0,3.0,0.0,2006.0,NA,NA,red,good,good,0,0.0,255000.0
