,feature01,feature02,feature04,feature05,feature06,feature07,feature08,feature09,feature10,feature10.1,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature21,feature22,feature23,target
318,3.0,680.0,774.0,774,8,1968,8,5,2009,2,red,1,good,amazing,4,1,5,1,1194,2010,269500
1767,3.0,832.0,2444.0,2444,10,4316,10,6,1994,3,red,2,amazing,amazing,4,1,1,1,1872,1995,755000
37,3.0,772.0,1704.0,1704,7,1704,8,5,2007,2,red,1,good,good,3,1,5,0,0,2008,306000
429,3.0,896.0,2020.0,2020,7,2020,9,5,2008,2,red,1,good,amazing,3,1,5,0,0,2008,404000
1177,2.0,846.0,970.0,1469,7,2393,10,5,1998,2,red,1,bad,amazing,2,1,2,1,924,1999,345000
1300,2.0,528.0,924.0,1122,6,1122,5,7,1948,1,red,0,NA,good,2,1,5,0,0,2005,147000
605,2.0,472.0,1516.0,1516,6,1516,6,6,1964,1,red,0,NA,bad,3,1,2,1,0,1964,167000
619,1.0,338.0,1050.0,1050,5,1050,5,6,1956,1,red,0,NA,bad,2,1,6,0,0,1956,128900
302,1.0,200.0,480.0,540,4,540,2,5,1941,1,red,0,NA,bad,1,1,4,0,0,1950,82000
447,3.0,968.0,2392.0,2392,8,2392,10,5,2003,2,red,1,amazing,amazing,3,1,6,0,0,2003,386250
2477,2.0,688.0,941.0,941,7,1837,6,5,1997,2,red,0,NA,bad,3,1,7,1,896,1998,187000
908,1.0,240.0,778.0,944,7,1489,6,7,1940,2,red,1,good,bad,3,1,7,0,545,1950,139500
1011,3.0,656.0,1122.0,1134,11,2504,9,5,2005,2,red,1,good,amazing,4,1,6,1,1370,2007,325000
2087,1.0,280.0,951.0,986,7,1362,4,5,1920,2,red,0,NA,bad,4,1,3,0,376,1950,96000
2016,2.0,379.0,756.0,903,6,1281,5,6,1926,1,blue,0,NA,good,2,1,8,0,378,1950,132500
1077,2.0,474.0,764.0,764,6,1626,7,5,2003,2,red,0,NA,good,2,1,10,1,862,2004,155000
2171,2.0,576.0,901.0,901,7,1351,5,6,1925,1,red,1,good,bad,3,1,7,0,450,1950,122000
550,2.0,465.0,676.0,698,6,1400,6,7,1986,2,red,0,NA,bad,3,1,7,1,702,1986,162000
1419,2.0,614.0,1077.0,1093,9,2814,6,5,1995,2,red,1,bad,good,4,1,6,1,1721,2002,260000
1584,2.0,435.0,1666.0,1675,6,1675,6,5,1999,2,red,0,NA,good,3,1,12,0,0,2000,195000
2356,2.0,528.0,832.0,832,8,1664,7,5,1976,2,red,1,bad,bad,4,1,3,1,832,1976,162900
656,2.0,720.0,676.0,676,7,1352,5,7,1939,2,red,0,NA,good,4,1,8,0,676,2006,149000
935,2.0,462.0,561.0,561,5,1229,6,6,1980,1,red,1,bad,bad,2,1,5,1,668,1980,124000
191,1.0,363.0,988.0,1030,7,1612,5,6,1950,1,red,0,NA,bad,3,1,3,1,582,1997,128500
2293,2.0,528.0,1244.0,1356,6,1356,6,6,1977,2,red,1,bad,bad,3,1,9,0,0,1977,188000
2307,3.0,963.0,1617.0,1797,7,1797,5,5,1957,1,red,1,bad,bad,3,1,6,1,0,1957,169000
522,2.0,692.0,1372.0,1448,6,1448,8,5,2006,2,red,1,good,good,2,1,6,0,0,2007,238500
2677,1.0,258.0,728.0,728,6,1162,3,5,1930,1,red,0,NA,bad,3,1,11,0,434,1950,75000
2839,2.0,609.0,954.0,1482,6,1482,4,4,1954,2,red,1,good,bad,3,1,10,0,0,1968,125000
1012,3.0,670.0,1884.0,1884,7,1884,9,5,2004,2,red,1,good,amazing,2,1,9,0,0,2004,387000
355,2.0,440.0,952.0,952,7,1636,6,5,1998,2,red,1,bad,bad,3,1,10,1,684,1999,191000
676,2.0,400.0,0.0,1040,6,1040,3,4,1950,2,blue,0,NA,bad,2,2,6,0,0,1950,92900
788,2.0,480.0,1436.0,1689,7,1689,6,5,1956,1,red,1,good,bad,3,1,11,0,0,1956,127500
1276,1.0,240.0,854.0,854,6,1278,6,5,1954,1,blue,0,NA,bad,4,1,4,0,424,1954,127500
1547,1.0,432.0,816.0,816,5,816,6,8,1930,1,red,0,NA,bad,2,1,6,0,0,2007,120500
568,2.0,561.0,1726.0,1726,6,1726,6,5,2008,2,red,1,good,good,2,1,1,1,0,2008,222000
1488,1.0,276.0,1256.0,1256,6,1256,5,6,1965,1,red,0,NA,bad,3,1,6,1,0,1965,147500
2268,2.0,438.0,868.0,1146,6,1146,7,5,2003,2,red,1,good,good,3,1,5,0,0,2003,187500
937,2.0,551.0,1803.0,2365,7,2365,7,9,1971,2,red,2,good,amazing,3,1,7,0,0,2009,315000
2354,2.0,485.0,675.0,1109,8,1875,6,6,1975,3,red,1,bad,good,3,1,6,0,766,2000,184500
