,dtype,continous,ordinal,nominal
feature01,float64,False,True,False
feature02,float64,True,False,False
feature04,float64,True,False,False
feature05,int64,True,False,False
feature06,int64,False,True,False
feature07,int64,True,False,False
feature08,int64,False,True,False
feature09,int64,False,True,False
feature10,int64,False,True,False
feature10.1,int64,False,True,False
feature13,object,False,False,True
feature14,int64,False,True,False
feature15,object,False,False,True
feature16,object,False,False,True
feature17,int64,False,True,False
feature18,int64,False,True,False
feature19,int64,False,True,False
feature21,int64,False,True,False
feature22,int64,True,False,False
feature23,int64,False,True,False
